0,0,0,4,4,0,0
1,0,1,4,4,0,0
2,0,2,4,4,0,0
3,0,3,4,4,0,0
4,0,4,4,4,0,0
5,0,5,4,4,0,0
6,0,6,4,4,0,0
7,0,7,4,4,0,0
8,0,8,4,4,0,0
9,0,9,4,4,0,0
10,0,10,4,4,0,0
11,0,11,4,4,0,0
12,0,12,4,4,0,0
13,0,13,4,4,0,0
14,0,14,4,4,0,0
15,0,15,4,4,0,0
16,0,16,4,4,0,0
17,0,17,4,4,0,0
18,0,18,4,4,0,0
19,0,19,4,4,0,0
20,0,20,4,4,0,0
21,0,21,4,4,0,0
22,0,22,4,4,0,0
23,0,23,4,2,0,0
24,0,24,4,4,0,0
25,0,25,4,4,0,0
26,0,26,4,1,0,0
27,0,27,4,4,0,0
28,0,28,4,4,0,0
29,0,29,4,4,0,0
30,0,30,4,4,0,0
31,0,31,4,4,0,0
32,0,32,4,4,0,0
33,0,33,4,4,0,0
34,0,34,4,4,0,0
35,0,35,4,4,0,0
36,0,36,4,4,1,1
